* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 12dB  , MICROPHONE, R, volume: 1.000. Timing signal peak level -23.0 dBFS, measurement signal peak level -18.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 15, 2023 8:38:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1348 ms (-46 mm, -1.82 in) using IR start time relative to Acoustic reference played from SPEAKER R with -0.0186 ms (-6.4 mm, -0.25 in) timing offset Clock adjustment: 1,237.9 ppm
* Measurement: crossover v2 76
* Smoothing: Psychoacoustic
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 55.906, 39.9091
20.600000, 56.535, 39.5339
20.900000, 57.166, 39.1173
21.200001, 57.791, 38.6109
21.400000, 58.202, 38.2065
21.799999, 59.005, 37.2004
22.000000, 59.396, 36.5762
22.400000, 60.152, 35.0373
22.700001, 60.695, 33.5908
23.000000, 61.216, 31.8594
23.299999, 61.716, 29.8183
23.600000, 62.193, 27.4493
24.000000, 62.794, 23.7593
24.299999, 63.218, 20.5851
24.700001, 63.747, 15.8124
25.000000, 64.118, 11.8380
25.400000, 64.577, 6.0372
25.799999, 64.996, -0.2945
26.200001, 65.376, -7.1007
26.500000, 65.636, -12.4766
26.900000, 65.950, -19.9528
27.200001, 66.161, -25.7492
27.600000, 66.411, -33.6725
28.000000, 66.625, -41.7503
28.500000, 66.846, -51.9571
29.000000, 67.015, -62.1618
29.500000, 67.135, -72.2515
30.000000, 67.210, -82.1193
30.400000, 67.237, -89.7931
30.700001, 67.241, -95.3948
31.100000, 67.223, -102.6303
31.500000, 67.182, -109.5743
32.000000, 67.099, -117.8109
32.500000, 66.984, -125.5261
33.000000, 66.840, -132.6995
33.500000, 66.670, -139.3223
34.000000, 66.477, -145.3940
34.500000, 66.264, -150.9217
35.000000, 66.033, -155.9180
35.500000, 65.786, -160.4020
36.000000, 65.528, -164.3980
36.500000, 65.262, -167.9341
37.000000, 64.991, -171.0454
37.500000, 64.721, -173.7694
38.200001, 64.355, -177.0129
38.700001, 64.109, -178.9829
39.500000, 63.764, 178.3366
40.000000, 63.588, 176.8853
40.599998, 63.425, 175.3008
41.200001, 63.321, 173.8228
41.799999, 63.277, 172.3935
42.500000, 63.300, 170.7238
43.099998, 63.377, 169.2489
43.700001, 63.499, 167.7070
44.400002, 63.689, 165.8051
45.000000, 63.885, 164.0812
45.500000, 64.069, 162.5803
46.200001, 64.351, 160.3897
46.799999, 64.615, 158.4409
47.500000, 64.945, 156.1017
48.200001, 65.300, 153.7106
48.700001, 65.566, 151.9811
49.400002, 65.958, 149.5418
50.000000, 66.308, 147.4429
50.799999, 66.795, 144.6426
51.500000, 67.236, 142.1956
52.200001, 67.686, 139.7518
53.000000, 68.208, 136.9573
53.799999, 68.733, 134.1490
54.500000, 69.190, 131.6664
55.200001, 69.641, 129.1444
56.000000, 70.147, 126.1919
57.000000, 70.758, 122.3554
58.000000, 71.342, 118.3054
59.000000, 71.892, 113.9896
60.000000, 72.405, 109.3616
60.799999, 72.787, 105.4093
61.500000, 73.100, 101.7574
62.200001, 73.391, 97.9191
63.000000, 73.698, 93.3030
64.000000, 74.040, 87.1961
65.000000, 74.337, 80.7383
66.000000, 74.586, 73.9700
67.000000, 74.787, 66.9459
68.000000, 74.943, 59.7323
69.000000, 75.052, 52.4024
70.000000, 75.117, 45.0318
71.000000, 75.140, 37.6938
72.000000, 75.124, 30.4555
73.000000, 75.073, 23.3737
74.000000, 74.990, 16.4940
75.000000, 74.878, 9.8502
76.199997, 74.714, 2.2209
77.500000, 74.505, -5.5967
78.800003, 74.274, -12.9363
80.000000, 74.049, -19.2838
81.199997, 73.821, -25.2215
82.500000, 73.579, -31.1935
83.800003, 73.356, -36.6893
85.000000, 73.178, -41.3433
86.199997, 73.041, -45.6012
87.500000, 72.953, -49.7780
88.500000, 72.937, -52.6927
90.000000, 73.012, -56.6038
91.199997, 73.161, -59.3601
92.500000, 73.408, -62.0053
93.800003, 73.735, -64.3333
95.000000, 74.093, -66.2369
96.199997, 74.493, -67.9426
97.500000, 74.959, -69.6131
98.800003, 75.444, -71.1525
100.000000, 75.899, -72.5082
101.500000, 76.470, -74.1971
103.000000, 77.035, -75.9828
104.400002, 77.553, -77.8291
106.000000, 78.125, -80.2630
107.500000, 78.639, -82.9597
109.000000, 79.129, -86.1451
110.599998, 79.622, -90.1582
112.000000, 80.028, -94.2343
113.800003, 80.512, -100.2802
115.000000, 80.812, -104.8141
117.199997, 81.312, -114.1283
118.000000, 81.478, -117.8167
120.599998, 81.961, -130.7782
122.000000, 82.186, -138.2885
124.099998, 82.480, -150.0985
125.000000, 82.590, -155.3200
126.500000, 82.754, -164.1851
128.000000, 82.893, -173.2026
131.500000, 83.130, 165.4372
132.000000, 83.154, 162.3710
134.000000, 83.227, 150.1166
136.000000, 83.262, 137.9201
138.000000, 83.260, 125.8257
140.000000, 83.223, 113.8634
143.000000, 83.105, 96.2038
145.000000, 82.988, 84.6270
147.500000, 82.801, 70.3723
150.000000, 82.571, 56.3527
152.500000, 82.300, 42.5726
155.000000, 81.986, 29.0515
157.500000, 81.629, 15.8170
160.000000, 81.232, 2.8943
162.500000, 80.795, -9.7024
165.000000, 80.321, -21.9789
167.500000, 79.814, -33.9670
170.000000, 79.279, -45.7336
172.500000, 78.721, -57.3947
175.000000, 78.147, -69.1282
177.500000, 77.564, -81.1827
180.000000, 76.987, -93.8691
182.500000, 76.433, -107.5323
185.000000, 75.923, -122.5021
187.500000, 75.485, -139.0358
190.000000, 75.142, -157.2681
192.500000, 74.911, -177.1807
195.000000, 74.795, 161.4019
197.500000, 74.783, 138.7903
200.000000, 74.849, 115.3950
203.000000, 74.994, 86.9396
206.000000, 75.171, 58.8347
209.000000, 75.349, 31.8197
212.000000, 75.514, 6.4952
214.000000, 75.617, -9.2324
218.000000, 75.814, -37.5962
220.000000, 75.917, -50.2014
224.000000, 76.153, -72.4602
227.000000, 76.367, -86.9244
230.000000, 76.610, -99.9254
233.000000, 76.873, -111.9100
236.000000, 77.140, -123.3049
